Date,VOO,VOO_2x,VOO_3x
1927-12-30,17.6600,17.6600,17.6600
1927-12-31,17.6600,17.6600,17.6600
1928-01-03,17.7600,17.8600,17.9600
1928-01-04,17.7200,17.7795,17.8386
1928-01-05,17.5500,17.4384,17.3252
1928-01-06,17.6600,17.6570,17.6510
1928-01-07,17.6600,17.6570,17.6510
1928-01-09,17.5000,17.3371,17.1713
1928-01-10,17.3700,17.0795,16.7886
1928-01-11,17.3500,17.0402,16.7306
1928-01-12,17.4700,17.2759,17.0777
1928-01-13,17.5800,17.4934,17.4003
1928-01-14,17.5800,17.4934,17.4003
1928-01-16,17.2900,16.9163,16.5392
1928-01-17,17.3000,16.9358,16.5679
1928-01-18,17.2600,16.8575,16.4530
1928-01-19,17.3800,17.0919,16.7962
1928-01-20,17.4800,17.2886,17.0861
1928-01-21,17.4800,17.2886,17.0861
1928-01-23,17.6400,17.6051,17.5553
1928-01-24,17.7100,17.7448,17.7643
1928-01-25,17.5200,17.3641,17.1925
1928-01-26,17.6300,17.5821,17.5163
1928-01-27,17.6900,17.7018,17.6952
1928-01-28,17.6900,17.7018,17.6952
1928-01-30,17.4900,17.3015,17.0950
1928-01-31,17.5700,17.4598,17.3296
1928-02-01,17.5300,17.3803,17.2112
1928-02-02,17.6300,17.5786,17.5058
1928-02-03,17.4000,17.1200,16.8206
1928-02-04,17.4000,17.1200,16.8206
1928-02-06,17.4500,17.2183,16.9656
1928-02-07,17.4400,17.1986,16.9365
1928-02-08,17.4900,17.2972,17.0821
1928-02-09,17.5500,17.4159,17.2579
1928-02-10,17.5400,17.3961,17.2284
1928-02-11,17.5400,17.3961,17.2284
1928-02-14,17.4400,17.1977,16.9338
1928-02-15,17.4000,17.1188,16.8173
1928-02-16,17.3500,17.0204,16.6723
1928-02-17,17.0400,16.4122,15.7786
1928-02-18,17.0400,16.4122,15.7786
1928-02-20,16.9500,16.2388,15.5286
1928-02-21,17.1100,16.5454,15.9683
1928-02-23,17.1300,16.5841,16.0243
1928-02-24,17.1800,16.6809,16.1647
1928-02-25,17.1800,16.6809,16.1647
1928-02-27,17.1100,16.5450,15.9671
1928-02-28,17.1600,16.6417,16.1070
1928-02-29,17.2600,16.8356,16.3886
1928-03-01,17.3000,16.9137,16.5026
1928-03-02,17.3000,16.9137,16.5026
1928-03-03,17.3000,16.9137,16.5026
1928-03-05,17.5700,17.4416,17.2752
1928-03-06,17.6700,17.6401,17.5702
1928-03-07,17.5800,17.4604,17.3017
1928-03-08,17.6400,17.5796,17.4789
1928-03-09,17.9300,18.1576,18.3409
1928-03-10,17.9300,18.1576,18.3409
1928-03-12,18.0000,18.2994,18.5558
1928-03-13,17.9200,18.1368,18.3083
1928-03-14,17.9300,18.1570,18.3390
1928-03-15,18.0700,18.4405,18.7686
1928-03-16,18.2600,18.8283,19.3606
1928-03-17,18.2600,18.8283,19.3606
1928-03-19,18.3600,19.0346,19.6787
1928-03-20,18.4600,19.2419,20.0002
1928-03-21,18.6500,19.6380,20.6178
1928-03-22,18.6000,19.5327,20.4520
1928-03-23,18.7800,19.9108,21.0457
1928-03-24,18.7800,19.9108,21.0457
1928-03-26,19.0500,20.4833,21.9535
1928-03-27,18.9400,20.2467,21.5732
1928-03-28,18.8900,20.1398,21.4023
1928-03-29,18.9500,20.2678,21.6063
1928-03-30,19.2800,20.9737,22.7350
1928-03-31,19.2800,20.9737,22.7350
1928-04-02,18.9100,20.1686,21.4261
1928-04-03,19.0200,20.4033,21.8000
1928-04-04,18.9900,20.3389,21.6969
1928-04-05,19.2300,20.8530,22.5195
1928-04-09,19.2700,20.9398,22.6600
1928-04-10,19.1000,20.5703,22.0603
1928-04-11,19.4400,21.3027,23.2384
1928-04-12,19.4100,21.2369,23.1308
1928-04-13,19.7300,21.9371,24.2748
1928-04-14,19.7300,21.9371,24.2748
1928-04-16,19.6800,21.8260,24.0903
1928-04-17,19.5200,21.4711,23.5027
1928-04-18,19.5200,21.4711,23.5027
